caseid_new,caseid_wave,qualified?,survey_completed_new,followup_HCMST_yrmo,relationship_status,married_year,married_month,relationship_quality,attractive_self,attractive_partner,breakup_year_combo,breakup_month_combo,got_married?_new
1298581,1298581_4,qualified,yes,201303.0,still together,,,5.0,very attractive,very attractive,,,
1299356,1299356_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1300663,1300663_4,disqualified,,,,,,,,,,,
1301626,1301626_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,very attractive,,,no
1302415,1302415_4,qualified,yes,201303.0,still together,,,3.0,slightly attractive,moderately attractive,,,no
1303571,1303571_4,qualified,no,,,,,,,,,,
1305741,1305741_4,qualified,yes,201311.0,still together,,,5.0,slightly attractive,very attractive,,,
1306381,1306381_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,very attractive,,,
1307306,1307306_4,qualified,no,,,,,,,,,,
1308821,1308821_4,qualified,no,,,,,,,,,,
1309513,1309513_4,disqualified,,,,,,,,,,,
1310523,1310523_4,qualified,yes,201303.0,still together,,,3.0,moderately attractive,moderately attractive,,,
1311822,1311822_4,disqualified,,,,,,,,,,,
1312301,1312301_4,qualified,yes,201304.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1313431,1313431_4,qualified,yes,201305.0,still together,,,5.0,very attractive,very attractive,,,
1314201,1314201_4,qualified,no,,,,,,,,,,
1315536,1315536_4,qualified,yes,201303.0,still together,,,5.0,very attractive,very attractive,,,no
1316391,1316391_4,qualified,yes,201303.0,still together,,,3.0,moderately attractive,moderately attractive,,,
1317503,1317503_4,disqualified,,,,,,,,,,,
1318833,1318833_4,disqualified,,,,,,,,,,,
1319523,1319523_4,disqualified,,,,,,,,,,,
1320215,1320215_4,qualified,no,,,,,,,,,,
1322205,1322205_4,disqualified,,,,,,,,,,,
1323596,1323596_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,very attractive,,,
1325391,1325391_4,qualified,no,,,,,,,,,,
1326451,1326451_4,qualified,no,,,,,,,,,,
1327693,1327693_4,qualified,yes,201303.0,still together,,,4.0,slightly attractive,very attractive,,,no
1328713,1328713_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1329235,1329235_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,moderately attractive,,,
1330251,1330251_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,moderately attractive,,,
1331645,1331645_4,disqualified,,,,,,,,,,,
1332405,1332405_4,qualified,no,,,,,,,,,,
1333711,1333711_4,disqualified,,,,,,,,,,,
1334261,1334261_4,qualified,yes,201303.0,broke up,,,,moderately attractive,,2012.0,June,
1335363,1335363_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,moderately attractive,,,no
1337321,1337321_4,disqualified,,,,,,,,,,,
1338632,1338632_4,disqualified,,,,,,,,,,,
1340556,1340556_4,qualified,yes,201303.0,still together,,,5.0,slightly attractive,slightly attractive,,,no
1341511,1341511_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1343603,1343603_4,disqualified,,,,,,,,,,,
1345356,1345356_4,qualified,no,,,,,,,,,,
1346465,1346465_4,disqualified,,,,,,,,,,,
1347703,1347703_4,disqualified,,,,,,,,,,,
1348345,1348345_4,disqualified,,,,,,,,,,,
1349311,1349311_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,very attractive,,,
1350732,1350732_4,disqualified,,,,,,,,,,,
1351572,1351572_4,disqualified,,,,,,,,,,,
1352771,1352771_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1353823,1353823_4,disqualified,,,,,,,,,,,
1354291,1354291_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,very attractive,,,
1355692,1355692_4,disqualified,,,,,,,,,,,
1356751,1356751_4,qualified,no,,,,,,,,,,
1357415,1357415_4,disqualified,,,,,,,,,,,
1358455,1358455_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,no
1359663,1359663_4,disqualified,,,,,,,,,,,
1360485,1360485_4,disqualified,,,,,,,,,,,
1361771,1361771_4,qualified,yes,201311.0,still together,,,5.0,slightly attractive,moderately attractive,,,
1363253,1363253_4,qualified,no,,,,,,,,,,
1364533,1364533_4,disqualified,,,,,,,,,,,
1365673,1365673_4,disqualified,,,,,,,,,,,
1366341,1366341_4,qualified,yes,201303.0,still together,,,4.0,slightly attractive,slightly attractive,,,
1367841,1367841_4,qualified,no,,,,,,,,,,
1368545,1368545_4,disqualified,,,,,,,,,,,
1369721,1369721_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,very attractive,,,
1370453,1370453_4,disqualified,,,,,,,,,,,
1371681,1371681_4,qualified,yes,201311.0,still together,,,5.0,slightly attractive,slightly attractive,,,
1372391,1372391_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,very attractive,,,
1373663,1373663_4,disqualified,,,,,,,,,,,
1374731,1374731_4,qualified,no,,,,,,,,,,
1375681,1375681_4,qualified,yes,201303.0,still together,,,4.0,very attractive,very attractive,,,
1376386,1376386_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,moderately attractive,,,no
1377811,1377811_4,qualified,no,,,,,,,,,,
1378732,1378732_4,disqualified,,,,,,,,,,,
1379291,1379291_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,very attractive,,,
1380606,1380606_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,no
1381205,1381205_4,qualified,no,,,,,,,,,,
1382546,1382546_4,disqualified,,,,,,,,,,,
1383671,1383671_4,qualified,yes,201303.0,still together,,,5.0,not at all attractive,slightly attractive,,,
1384431,1384431_4,qualified,no,,,,,,,,,,
1386291,1386291_4,qualified,no,,,,,,,,,,
1387255,1387255_4,qualified,no,,,,,,,,,,
1388606,1388606_4,qualified,no,,,,,,,,,,
1389863,1389863_4,disqualified,,,,,,,,,,,
1390585,1390585_4,disqualified,,,,,,,,,,,
1392612,1392612_4,qualified,yes,201303.0,still together,,,4.0,slightly attractive,slightly attractive,,,no
1393286,1393286_4,disqualified,,,,,,,,,,,
1394385,1394385_4,qualified,yes,201311.0,still together,,,3.0,moderately attractive,moderately attractive,,,no
1396626,1396626_4,disqualified,,,,,,,,,,,
1398431,1398431_4,qualified,no,,,,,,,,,,
1399603,1399603_4,disqualified,,,,,,,,,,,
1400536,1400536_4,disqualified,,,,,,,,,,,
1401456,1401456_4,qualified,no,,,,,,,,,,
1402461,1402461_4,qualified,no,,,,,,,,,,
1403571,1403571_4,qualified,yes,201303.0,still together,,,5.0,very attractive,very attractive,,,
1405701,1405701_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1406352,1406352_4,disqualified,,,,,,,,,,,
1408531,1408531_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1409551,1409551_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1410441,1410441_4,disqualified,,,,,,,,,,,
1411661,1411661_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1412495,1412495_4,disqualified,,,,,,,,,,,
1413821,1413821_4,qualified,no,,,,,,,,,,
1414483,1414483_4,disqualified,,,,,,,,,,,
1415793,1415793_4,disqualified,,,,,,,,,,,
1416791,1416791_4,qualified,no,,,,,,,,,,
1418265,1418265_4,qualified,yes,201303.0,still together,2011.0,August,5.0,moderately attractive,moderately attractive,,,yes
1420535,1420535_4,disqualified,,,,,,,,,,,
