caseid_new,caseid_wave,qualified?,w4_broke_up,w234_combo_breakup,w4_xqualified,w4_status,w4_complete,w4_HCMST_interview_fin_yrmo,w4_xtype,w4_xyear,w4_xlast,w4_xss,w4_q1,w4_q2,w4_quality,relationship_quality_w4,w4_attractive,w4_attractive_partner,w4_q3,w4_q4,w4_mbtiming_year,w4_mbtiming_month,w4_q5,w4_q6,w4_q7,w4_mar_year,w4_mar_month,w4_civ_year,w4_q8_a,w4_q8_b,w4_q9,w4_q10,w4_nonmbtiming_year,w4_nonmbtiming_month
130266,130266_4,qualified,still together,"still together at w4, or some follow-up w/o break-up",qualified for wave 4,Withdrawn,Yes,201304.0,different sex couple,2011.0,2.0,No,yes,yes,Excellent,5.0,very attractive,very attractive,,,,,,,,,,,,,,,,
131561,131561_4,qualified,,,qualified for wave 4,Do not call,No,,different sex couple,2009.0,4.0,No,,,,,,,,,,,,,,,,,,,,,,
132505,132505_4,disqualified,,,unqualified for wave 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133521,133521_4,qualified,still together,"still together at w4, or some follow-up w/o break-up",qualified for wave 4,Withdrawn,Yes,201304.0,different sex couple,2011.0,2.0,No,yes,yes,Good,4.0,moderately attractive,moderately attractive,,,,,,,,,,,,,,,,
134275,134275_4,qualified,still together,"still together at w4, or some follow-up w/o break-up",qualified for wave 4,Active,Yes,201303.0,different sex couple,2011.0,2.0,No,,,Excellent,5.0,slightly attractive,slightly attractive,,,,,Yes,Yes,"Yes, married [xnamep]",2011.0,December,,,,,,,
134461,134461_4,qualified,still together,"still together at w4, or some follow-up w/o break-up",qualified for wave 4,Active,Yes,201303.0,different sex couple,2011.0,2.0,No,yes,yes,Excellent,5.0,moderately attractive,very attractive,,,,,,,,,,,,,,,,
135736,135736_4,qualified,still together,"still together at w4, or some follow-up w/o break-up",qualified for wave 4,Active,Yes,201303.0,same-sex couple,2011.0,2.0,No,,,Good,4.0,very attractive,very attractive,,,,,Yes,Yes,"No, did not marry [xnamep]",,,,,,,,,
136275,136275_4,qualified,,"still together at w4, or some follow-up w/o break-up",qualified for wave 4,Withdrawn,No,,different sex couple,2010.0,3.0,No,,,,,,,,,,,,,,,,,,,,,,
137215,137215_4,qualified,,"still together at w4, or some follow-up w/o break-up",qualified for wave 4,Withdrawn,No,,same-sex couple,2011.0,2.0,Yes,,,,,,,,,,,,,,,,,,,,,,
138383,138383_4,disqualified,,,unqualified for wave 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
