,caseid_new,xw6_year,xw6_month,xw6_last,xw6_marry,w6_still_mar,w6_live_together,w6_otherdate,w6_how_many,w6_otherdate_app,w6_how_many_app,w6_relationship_end_mar,w6_who_breakup,w6_mbtiming_Year,w6_mbtiming_Month,w6_partner_passaway_Year,w6_partner_passaway_Month,w6_otherdate_B,w6_how_many_B,w6_otherdate_app_B,w6_how_many_app_B,w6_still_rel,w6_live_together_C,w6_got_married,w6_martiming_Year,w6_martiming_Month,w6_otherdate_C,w6_how_many_C,w6_otherdate_app_C,w6_how_many_app_C,w6_relationship_end_nonmar,w6_who_breakup_C,w6_nonmbtiming_Year,w6_nonmbtiming_Month,w6_partner_passaway_C_Year,w6_partner_passaway_C_Month,w6_otherdate_C2,w6_how_many_C2,w6_otherdate_app_C2,w6_how_many_app_C2,pp6_ppage,pp6_ppagecat,pp6_ppagect4,pp6_ppeduc,pp6_ppeducat,pp6_ppethm,pp6_ppgender,pp6_pphhhead,pp6_pphhsize,pp6_pphouse,pp6_ppincimp,pp6_ppmarit,pp6_ppmsacat,pp6_PPREG4,pp6_ppreg9,pp6_pprent,pp6_PPT01,pp6_PPT25,pp6_PPT612,pp6_PPT1317,pp6_PPT18OV,pp6_ppwork,w6_relate_status,w6_broke_up,w6_met_through_friends,w6_met_through_family,w6_met_online,w6_met_through_as_coworkers,w6_met_online_dating,w6_met_bar_restaurant,w6_how_met_story_length,w6_combo_live_together,w6_otherdate_combo,w6_how_many_combo,w6_otherdate_app_combo,w6_how_many_app_combo,w6_HCMST_yrmo
99,661466,2014,December,3,married,Yes,Yes,"Yes, I have met at least one person for dating, romance, or sex besides PARTNER NAME in the past year.","Six to Twenty people. I met between six and twenty different people besides PARTNER NAME  in the past year for dating, r","Yes, I have used a phone dating app in the past year to meet someone besides PARTNER NAME in person for dating, romance,","Two to Five people. Using phone apps, I met between two and five different people besides PARTNER NAME in person in the",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,55-64,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,5,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,2,0,3,Working - as a paid employee,"was married, remained married",still together,no,no,yes,no,yes,no,22,yes,"Yes, I have met at least one person for dating, romance, or sex besides PARTNER NAME in the past year.","Six to Twenty people. I met between six and twenty different people besides PARTNER NAME  in the past year for dating, r","Yes, I have used a phone dating app in the past year to meet someone besides PARTNER NAME in person for dating, romance,","Two to Five people. Using phone apps, I met between two and five different people besides PARTNER NAME in person in the",201707
100,664501,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,55-64,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"Black, Non-Hispanic",Male,No,3,A one-family house detached from any other house,"$40,000 to $49,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
101,666686,2015,January,2,unmarried partners,,,,,,,,,,,,,,,,,No,,,,,,,,,"PARTNER NAME passed away, is deceased",,,,2015,February,"Yes, I have met at least one person for dating, romance, or sex  in the past year","One person. I met only one person  in the past year for dating, or romance, or sex.","No, I have not used a phone dating app in the past year to meet someone in person",,77,75+,60+,Bachelors degree,Bachelor's degree or higher,"2+ Races, Non-Hispanic",Female,Yes,1,A one-family house detached from any other house,"$60,000 to $74,999",Widowed,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,"was unmarried, broke up",partner passed away,no,no,yes,no,yes,no,7,no,"Yes, I have met at least one person for dating, romance, or sex besides PARTNER NAME in the past year.","One person. I met only one person besides PARTNER NAME  in the past year for dating, or romance, or sex.","No, I have not used a phone dating app in the past year to meet someone in person besides PARTNER NAME",,201707
102,670721,2015,March,2,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,75+,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$20,000 to $24,999",Married,Non-Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201708
103,671481,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,55-64,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
104,672681,2014,December,3,married,Yes,Yes,"Yes, I have met at least one person for dating, romance, or sex besides PARTNER NAME in the past year.","Two to Five people. I met between two and five different people besides PARTNER NAME  in the past year for dating, roman","No, I have not used a phone dating app in the past year to meet someone in person besides PARTNER NAME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,75+,60+,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - self-employed,"was married, remained married",still together,no,no,no,no,no,no,49,yes,"Yes, I have met at least one person for dating, romance, or sex besides PARTNER NAME in the past year.","Two to Five people. I met between two and five different people besides PARTNER NAME  in the past year for dating, roman","No, I have not used a phone dating app in the past year to meet someone in person besides PARTNER NAME",,201707
105,673371,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45-54,45-59,"Some college, no degree",Some college,"White, Non-Hispanic",Female,Yes,4,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,2,2,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
106,675671,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,75+,60+,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
107,680225,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,25-34,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,4,A one-family house detached from any other house,"$35,000 to $39,999",Married,Non-Metro,Northeast,New England,Owned or being bought by you or someone in your household,1,1,0,0,2,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
108,697396,2014,November,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,45-54,45-59,"Some college, no degree",Some college,"White, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
109,698271,2014,December,3,married,Yes,Yes,"Yes, I have met at least one person for dating, romance, or sex besides PARTNER NAME in the past year.","Two to Five people. I met between two and five different people besides PARTNER NAME  in the past year for dating, roman","No, I have not used a phone dating app in the past year to meet someone in person besides PARTNER NAME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35-44,30-44,"Some college, no degree",Some college,"White, Non-Hispanic",Female,Yes,4,A building with 2 or more apartments,"$20,000 to $24,999",Married,Metro,Midwest,East-North Central,Rented for cash,0,2,0,0,2,Working - as a paid employee,"was married, remained married",still together,no,no,yes,no,yes,no,22,yes,"Yes, I have met at least one person for dating, romance, or sex besides PARTNER NAME in the past year.","Two to Five people. I met between two and five different people besides PARTNER NAME  in the past year for dating, roman","No, I have not used a phone dating app in the past year to meet someone in person besides PARTNER NAME",,201707
110,701496,2014,December,3,unmarried partners,,,,,,,,,,,,,,,,,No,,,,,,,,,We broke up,I wanted to break up more,2016,August,,,"Yes, I have met at least one person for dating, romance, or sex  in the past year","One person. I met only one person  in the past year for dating, or romance, or sex.","No, I have not used a phone dating app in the past year to meet someone in person",,57,55-64,45-59,"Some college, no degree",Some college,"White, Non-Hispanic",Male,Yes,1,A one-family house detached from any other house,"$60,000 to $74,999",Never married,Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,"was unmarried, broke up",broke up,no,no,yes,no,no,no,185,no,"Yes, I have met at least one person for dating, romance, or sex besides PARTNER NAME in the past year.","One person. I met only one person besides PARTNER NAME  in the past year for dating, or romance, or sex.","No, I have not used a phone dating app in the past year to meet someone in person besides PARTNER NAME",,201707
111,711676,2014,November,3,unmarried partners,,,,,,,,,,,,,,,,,Yes,Yes,"No, did not marry PARTNER NAME",,,"No, I have not met anyone for dating, romance, or sex [besides PARTNER NAME] in the past year",,,,,,,,,,,,,,76,75+,60+,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,Yes,2,A one-family house detached from any other house,"$100,000 to $124,999",Divorced,Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,unmarried still together,still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
112,733315,2014,November,3,unmarried partners,,,,,,,,,,,,,,,,,Yes,Yes,"Yes, married PARTNER NAME",2015,September,"No, I have not met anyone for dating, romance, or sex [besides PARTNER NAME] in the past year",,,,,,,,,,,,,,39,35-44,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,Yes,2,A one-family house detached from any other house,"$125,000 to $149,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,was unmarried but got married,still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
113,737741,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,75+,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,Yes,2,A one-family house attached to one or more houses,"$35,000 to $39,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
114,750561,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,65-74,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,Yes,1,A mobile home,"$50,000 to $59,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
115,754281,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,35-44,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,No,4,A one-family house detached from any other house,"$30,000 to $34,999",Married,Non-Metro,Midwest,West-North Central,Rented for cash,0,0,1,1,2,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
116,756296,2014,December,3,unmarried partners,,,,,,,,,,,,,,,,,Yes,Yes,"No, did not marry PARTNER NAME",,,"No, I have not met anyone for dating, romance, or sex [besides PARTNER NAME] in the past year",,,,,,,,,,,,,,37,35-44,30-44,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Hispanic,Female,Yes,2,A mobile home,"$10,000 to $12,499",Living with partner,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - disabled,unmarried still together,still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
117,758456,2014,December,3,unmarried partners,,,,,,,,,,,,,,,,,Yes,Yes,"No, did not marry PARTNER NAME",,,"No, I have not met anyone for dating, romance, or sex [besides PARTNER NAME] in the past year",,,,,,,,,,,,,,53,45-54,45-59,"Some college, no degree",Some college,"Black, Non-Hispanic",Male,Yes,4,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,2,2,Working - as a paid employee,unmarried still together,still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
118,773351,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,35-44,30-44,Associate degree,Some college,"Black, Non-Hispanic",Male,Yes,4,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,1,3,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
119,778421,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,45-54,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,Yes,3,A one-family house detached from any other house,"$200,000 to $249,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
120,781615,2015,January,2,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,65-74,60+,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$200,000 to $249,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - self-employed,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
121,787561,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,65-74,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
122,799451,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,45-54,45-59,12th grade NO DIPLOMA,Less than high school,Hispanic,Female,Yes,4,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,West,Pacific,Rented for cash,0,0,0,0,4,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
123,818301,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,35-44,30-44,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,Yes,4,A one-family house detached from any other house,"$85,000 to $99,999",Married,Non-Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,2,0,2,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
124,819481,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,55-64,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,Yes,3,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
125,820666,2014,December,3,unmarried partners,,,,,,,,,,,,,,,,,Yes,Yes,"No, did not marry PARTNER NAME",,,"Yes, I have met at least one person for dating, romance, or sex [besides PARTNER NAME] in the past year.","Two to Five people. I met between two and five different people besides PARTNER NAME  in the past year for dating, roman","No, I have not used a phone dating app in the past year to meet someone in person besides PARTNER NAME",,,,,,,,,,,,74,65-74,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$85,000 to $99,999",Living with partner,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,unmarried still together,still together,no,no,no,no,no,yes,30,yes,"Yes, I have met at least one person for dating, romance, or sex besides PARTNER NAME in the past year.","Two to Five people. I met between two and five different people besides PARTNER NAME  in the past year for dating, roman","No, I have not used a phone dating app in the past year to meet someone in person besides PARTNER NAME",,201707
126,825281,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,35-44,30-44,"Some college, no degree",Some college,"White, Non-Hispanic",Female,Yes,8,A one-family house detached from any other house,"$35,000 to $39,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,3,2,1,2,Not working - other,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
127,834531,2015,February,2,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,55-64,60+,11th grade,Less than high school,"White, Non-Hispanic",Female,Yes,1,A mobile home,"$20,000 to $24,999",Married,Metro,South,South Atlantic,Occupied without payment of cash rent,0,0,0,0,1,Not working - disabled,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
128,838523,2015,February,2,unmarried partners,,,,,,,,,,,,,,,,,Yes,Yes,"No, did not marry PARTNER NAME",,,"Yes, I have met at least one person for dating, romance, or sex [besides PARTNER NAME] in the past year.","Two to Five people. I met between two and five different people besides PARTNER NAME  in the past year for dating, roman","No, I have not used a phone dating app in the past year to meet someone in person besides PARTNER NAME",,,,,,,,,,,,61,55-64,60+,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,unmarried still together,still together,no,no,yes,no,no,no,16,yes,"Yes, I have met at least one person for dating, romance, or sex besides PARTNER NAME in the past year.","Two to Five people. I met between two and five different people besides PARTNER NAME  in the past year for dating, roman","No, I have not used a phone dating app in the past year to meet someone in person besides PARTNER NAME",,201707
129,842195,2014,December,3,unmarried partners,,,,,,,,,,,,,,,,,Yes,Yes,"No, did not marry PARTNER NAME",,,"No, I have not met anyone for dating, romance, or sex [besides PARTNER NAME] in the past year",,,,,,,,,,,,,,28,25-34,18-29,"Some college, no degree",Some college,"White, Non-Hispanic",Female,No,1,A building with 2 or more apartments,"$75,000 to $84,999",Living with partner,Non-Metro,West,Pacific,Rented for cash,0,0,0,0,1,Working - as a paid employee,unmarried still together,still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
130,847471,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,55-64,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,Yes,2,A mobile home,"$50,000 to $59,999",Married,Metro,South,South Atlantic,Rented for cash,0,0,0,0,2,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
131,871691,2013,March,4,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,75+,60+,10th grade,Less than high school,"White, Non-Hispanic",Female,Yes,1,A one-family house detached from any other house,"$15,000 to $19,999",Married,Metro,South,West-South Central,Occupied without payment of cash rent,0,0,0,0,1,Not working - retired,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
132,878321,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,35-44,30-44,Professional or Doctorate degree,Bachelor's degree or higher,"Black, Non-Hispanic",Female,Yes,2,A building with 2 or more apartments,"$85,000 to $99,999",Married,Metro,Northeast,New England,Occupied without payment of cash rent,0,0,0,0,2,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
133,891551,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,45-54,45-59,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
134,899246,2014,December,3,unmarried partners,,,,,,,,,,,,,,,,,Yes,Yes,"Yes, married PARTNER NAME",2017,April,"No, I have not met anyone for dating, romance, or sex [besides PARTNER NAME] in the past year",,,,,,,,,,,,,,33,25-34,30-44,"Some college, no degree",Some college,"White, Non-Hispanic",Female,Yes,4,A one-family house detached from any other house,"$100,000 to $124,999",Living with partner,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,1,3,Working - as a paid employee,was unmarried but got married,still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
135,902521,2014,November,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,55-64,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"Black, Non-Hispanic",Male,No,3,A one-family house detached from any other house,"$35,000 to $39,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,3,Not working - retired,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
136,907301,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,35-44,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,5,A one-family house detached from any other house,"$40,000 to $49,999",Married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,1,0,2,0,2,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
137,923466,2014,November,3,unmarried partners,,,,,,,,,,,,,,,,,Yes,Yes,"No, did not marry PARTNER NAME",,,"No, I have not met anyone for dating, romance, or sex [besides PARTNER NAME] in the past year",,,,,,,,,,,,,,55,55-64,45-59,"Some college, no degree",Some college,"Other, Non-Hispanic",Male,Yes,2,A one-family house attached to one or more houses,"$100,000 to $124,999",Living with partner,Metro,West,Pacific,Rented for cash,0,0,0,0,2,Not working - looking for work,unmarried still together,still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
138,939441,2014,November,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,45-54,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,1,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro,West,Pacific,Rented for cash,0,0,0,0,1,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
139,942656,2014,November,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,65-74,60+,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,Yes,2,A one-family house attached to one or more houses,"$150,000 to $174,999",Married,Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
140,952371,2014,November,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45-54,45-59,Professional or Doctorate degree,Bachelor's degree or higher,"Other, Non-Hispanic",Male,Yes,3,A building with 2 or more apartments,"$35,000 to $39,999",Married,Metro,Midwest,East-North Central,Rented for cash,0,1,0,0,2,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
