caseid_new,caseid_wave,qualified?,survey_completed_new,followup_HCMST_yrmo,relationship_status,married_year,married_month,breakup_year_combo,breakup_month_combo,got_married?_new
1329235,1329235_6,qualified,yes,201707,still together,,,,,
1335363,1335363_6,qualified,yes,201707,still together,,,,,no
1340556,1340556_6,qualified,yes,201707,still together,2016.0,January,,,yes
1341511,1341511_6,qualified,yes,201707,still together,,,,,
1352771,1352771_6,qualified,yes,201707,still together,,,,,
1354291,1354291_6,qualified,yes,201707,still together,,,,,
1369721,1369721_6,qualified,yes,201707,still together,,,,,
1372391,1372391_6,qualified,yes,201707,still together,,,,,
1383671,1383671_6,qualified,yes,201707,still together,,,,,
1384431,1384431_6,qualified,yes,201707,still together,,,,,
1403571,1403571_6,qualified,yes,201707,still together,,,,,
1408531,1408531_6,qualified,yes,201707,still together,,,,,
1409551,1409551_6,qualified,yes,201707,still together,,,,,
1411661,1411661_6,qualified,yes,201707,still together,,,,,
1421401,1421401_6,qualified,yes,201707,still together,,,,,
1422621,1422621_6,qualified,yes,201708,still together,,,,,
1425271,1425271_6,qualified,yes,201707,still together,,,,,
1426355,1426355_6,qualified,yes,201707,still together,,,,,
1434421,1434421_6,qualified,yes,201707,broke up,,,2017.0,July,
1445491,1445491_6,qualified,yes,201707,broke up,,,2016.0,July,
1446561,1446561_6,qualified,yes,201707,still together,,,,,
1451501,1451501_6,qualified,yes,201707,still together,,,,,
1456556,1456556_6,qualified,yes,201707,still together,,,,,
1464431,1464431_6,qualified,yes,201707,still together,,,,,
1468606,1468606_6,qualified,yes,201707,still together,,,,,no
1469225,1469225_6,qualified,yes,201708,still together,,,,,no
1472491,1472491_6,qualified,yes,201707,still together,,,,,
1473421,1473421_6,qualified,yes,201707,still together,,,,,
1474566,1474566_6,qualified,yes,201707,still together,,,,,
1477205,1477205_6,qualified,yes,201707,still together,,,,,
1478566,1478566_6,qualified,yes,201707,still together,,,,,
1480621,1480621_6,qualified,yes,201707,still together,,,,,
1482336,1482336_6,qualified,yes,201707,still together,,,,,
1492642,1492642_6,qualified,yes,201707,still together,,,,,no
1493501,1493501_6,qualified,yes,201707,still together,,,,,
1494381,1494381_6,qualified,yes,201707,still together,,,,,
1498471,1498471_6,qualified,yes,201707,still together,,,,,
1511571,1511571_6,qualified,yes,201707,partner passed away,,,,,
1514561,1514561_6,qualified,yes,201707,still together,,,,,
1516441,1516441_6,qualified,yes,201707,still together,,,,,
1521461,1521461_6,qualified,yes,201707,still together,,,,,
1523526,1523526_6,qualified,yes,201707,still together,,,,,no
1525665,1525665_6,qualified,yes,201707,still together,,,,,no
1530311,1530311_6,qualified,yes,201707,still together,,,,,
1537541,1537541_6,qualified,yes,201707,still together,,,,,
1538731,1538731_6,qualified,yes,201707,still together,,,,,
1546505,1546505_6,qualified,yes,201707,still together,,,,,no
1549701,1549701_6,qualified,yes,201707,still together,,,,,
1554466,1554466_6,qualified,yes,201707,still together,2016.0,March,,,yes
1559571,1559571_6,qualified,yes,201707,still together,,,,,
1567444,1567444_6,qualified,yes,201707,broke up,,,2017.0,June,
1573641,1573641_6,qualified,yes,201707,still together,,,,,
1577546,1577546_6,qualified,yes,201707,still together,,,,,no
1580691,1580691_6,qualified,yes,201707,still together,,,,,
1582653,1582653_6,qualified,yes,201707,still together,,,,,no
1588416,1588416_6,qualified,yes,201707,still together,,,,,no
1599291,1599291_6,qualified,yes,201707,still together,,,,,
1601511,1601511_6,qualified,yes,201707,still together,,,,,
1608266,1608266_6,qualified,yes,201707,still together,,,,,no
1613271,1613271_6,qualified,yes,201707,still together,,,,,
1619401,1619401_6,qualified,yes,201707,still together,,,,,
1624601,1624601_6,qualified,yes,201707,still together,,,,,
1628461,1628461_6,qualified,yes,201708,still together,,,,,
1635436,1635436_6,qualified,yes,201707,still together,,,,,
1639691,1639691_6,qualified,yes,201707,still together,,,,,
1642351,1642351_6,qualified,yes,201707,still together,,,,,
1647511,1647511_6,qualified,yes,201707,still together,,,,,
1664275,1664275_6,qualified,yes,201707,still together,,,,,no
1667291,1667291_6,qualified,yes,201707,still together,,,,,
1668241,1668241_6,qualified,yes,201707,broke up,,,2016.0,January,
1669566,1669566_6,qualified,yes,201707,still together,,,,,no
1675641,1675641_6,qualified,yes,201707,still together,,,,,
1676566,1676566_6,qualified,yes,201707,still together,2015.0,May,,,yes
1685385,1685385_6,qualified,yes,201707,still together,,,,,no
1691641,1691641_6,qualified,yes,201707,still together,,,,,
1693481,1693481_6,qualified,yes,201707,still together,,,,,
1709246,1709246_6,qualified,yes,201707,still together,,,,,
1719406,1719406_6,qualified,yes,201707,still together,,,,,
1720621,1720621_6,qualified,yes,201707,still together,,,,,
1730361,1730361_6,qualified,yes,201707,still together,,,,,
1740291,1740291_6,qualified,yes,201707,still together,,,,,
1742351,1742351_6,qualified,yes,201707,still together,,,,,
1743521,1743521_6,qualified,yes,201707,still together,,,,,
1745446,1745446_6,qualified,yes,201707,still together,,,,,
1749592,1749592_6,qualified,yes,201707,still together,,,,,no
1752521,1752521_6,qualified,yes,201707,still together,,,,,
1753471,1753471_6,qualified,yes,201707,still together,,,,,
1762615,1762615_6,qualified,yes,201707,still together,,,,,no
1764471,1764471_6,qualified,yes,201707,still together,,,,,
1765521,1765521_6,qualified,yes,201707,still together,,,,,
1771195,1771195_6,qualified,yes,201707,still together,,,,,
1772413,1772413_6,qualified,yes,201707,still together,,,,,no
1778236,1778236_6,qualified,yes,201707,still together,,,,,no
1779551,1779551_6,qualified,yes,201707,still together,,,,,
1787296,1787296_6,qualified,yes,201707,still together,,,,,
1793381,1793381_6,qualified,yes,201707,still together,,,,,
1795381,1795381_6,qualified,yes,201707,still together,,,,,
1800341,1800341_6,qualified,yes,201707,still together,,,,,
1812681,1812681_6,qualified,yes,201708,still together,,,,,
1821371,1821371_6,qualified,yes,201707,still together,,,,,
1823706,1823706_6,qualified,yes,201707,still together,,,,,
1831446,1831446_6,qualified,yes,201707,still together,,,,,
1839335,1839335_6,qualified,yes,201707,still together,,,,,
1846441,1846441_6,qualified,yes,201707,still together,,,,,
1859701,1859701_6,qualified,yes,201707,still together,,,,,
1860271,1860271_6,qualified,yes,201707,still together,,,,,
1864311,1864311_6,qualified,yes,201707,still together,,,,,
1867521,1867521_6,qualified,yes,201707,still together,,,,,
1875531,1875531_6,qualified,yes,201707,still together,,,,,
1883321,1883321_6,qualified,yes,201707,still together,,,,,
1885371,1885371_6,qualified,yes,201707,still together,,,,,
1890241,1890241_6,qualified,yes,201707,still together,,,,,
1894396,1894396_6,qualified,yes,201707,still together,,,,,no
1900391,1900391_6,qualified,yes,201707,still together,,,,,
1906461,1906461_6,qualified,yes,201707,still together,,,,,
1915281,1915281_6,qualified,yes,201707,still together,,,,,
1918441,1918441_6,qualified,yes,201707,still together,,,,,
1926366,1926366_6,qualified,yes,201707,still together,,,,,no
1929641,1929641_6,qualified,yes,201707,still together,,,,,
1930531,1930531_6,qualified,yes,201707,still together,,,,,
1947301,1947301_6,qualified,yes,201707,still together,,,,,
1958331,1958331_6,qualified,yes,201707,still together,,,,,
1960361,1960361_6,qualified,yes,201707,still together,,,,,
1966581,1966581_6,qualified,yes,201707,still together,,,,,
1967711,1967711_6,qualified,yes,201707,still together,,,,,
1978511,1978511_6,qualified,yes,201707,still together,,,,,
1985391,1985391_6,qualified,yes,201707,still together,,,,,
1998801,1998801_6,qualified,yes,201707,still together,,,,,
2017286,2017286_6,qualified,yes,201707,still together,,,,,
2026446,2026446_6,qualified,yes,201707,still together,,,,,
2027521,2027521_6,qualified,yes,201707,still together,,,,,
2036461,2036461_6,qualified,yes,201707,still together,,,,,
2040821,2040821_6,qualified,yes,201707,still together,,,,,
2062511,2062511_6,qualified,yes,201707,still together,,,,,
2066551,2066551_6,qualified,yes,201707,still together,,,,,
2067411,2067411_6,qualified,yes,201707,still together,,,,,
2084411,2084411_6,qualified,yes,201707,still together,,,,,
2086556,2086556_6,qualified,yes,201708,still together,,,,,
2091581,2091581_6,qualified,yes,201707,still together,,,,,
2092496,2092496_6,qualified,yes,201707,still together,,,,,no
2093501,2093501_6,qualified,yes,201707,still together,,,,,
2095281,2095281_6,qualified,yes,201707,broke up,,,2012.0,October,
2103296,2103296_6,qualified,yes,201707,still together,,,,,no
2105421,2105421_6,qualified,yes,201707,still together,,,,,
2107491,2107491_6,qualified,yes,201707,still together,,,,,
2108781,2108781_6,qualified,yes,201707,still together,,,,,
2110451,2110451_6,qualified,yes,201707,still together,,,,,
2120526,2120526_6,qualified,yes,201707,still together,,,,,no
2121436,2121436_6,qualified,yes,201707,still together,2015.0,June,,,yes
2142591,2142591_6,qualified,yes,201707,still together,,,,,
2143405,2143405_6,qualified,yes,201707,still together,,,,,
2150511,2150511_6,qualified,yes,201707,still together,,,,,
2155561,2155561_6,qualified,yes,201707,still together,,,,,
2160635,2160635_6,qualified,yes,201707,still together,,,,,no
2170641,2170641_6,qualified,yes,201707,still together,,,,,
2179636,2179636_6,qualified,yes,201707,still together,,,,,
2180411,2180411_6,qualified,yes,201708,still together,,,,,
2184591,2184591_6,qualified,yes,201707,still together,,,,,
2187416,2187416_6,qualified,yes,201707,still together,2015.0,November,,,yes
2196501,2196501_6,qualified,yes,201707,still together,,,,,
2203446,2203446_6,qualified,yes,201707,still together,,,,,no
